Sentence,Emotion
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",Buồn bã
"chưa chuẩn_bị kỹ bài giảng để có_thể trả_lời các thắc_mắc của sinh_viên trên lớp .",Buồn bã
"cô khá tận_tâm cho học_sinh .",Vui vẻ
"cần cải_cách lại nội_dung các bài thực_hành , một_số kiến nội_dung trong bài thực_hành đã trở_nên lỗi_thời .",Trung lập
"giảng_viên có khả_năng truyền_đạt kiến_thức tốt .",Vui vẻ
"cho làm nhiều bài_tập .",Trung lập
"nghiên_cứu khoa_học .",Trung lập
"giáo_viên dạy rất tận_tâm , nhiệt_tình .",Vui vẻ
"thầy cô hướng_dẫn đồ_án hệ_thống thông_tin cần có thêm một_vài buổi gặp_mặt với sinh_viên và đưa ra lịch cố_định trên trường để sinh_viên thắc_mắc có_thể lên hỏi trực_tiếp !",Trung lập
"chỉ thông_báo trên lớp sẽ khó tránh sai_sót .",Trung lập
"cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan_sát được ạ .",Buồn bã
"đề_nghị lắp thêm quạt .",Trung lập
"dạy kỹ .",Trung lập
"bài_tập cần đa_dạng hơn .",Trung lập
"nói rất nhỏ .",Buồn bã
"có lúc làm bài sai giáo_viên nói làm hơi tự_ái .",Buồn bã
"không sửa các bài_tập thực_hành .",Buồn bã
"em chưa hiểu rõ cách_thức chấm điểm bài kiểm_tra thực_hành .",Buồn bã
"làm bài_tập nhiều mặc_dù không hiểu lắm .",Buồn bã
"thi_thoảng nghỉ học không thông_báo trên daa .",Buồn bã
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi_nổi .",Vui vẻ
"thầy giảng_dạy nhiệt_tình , truyền_cảm .",Vui vẻ
"giảng_dạy rất chi_tiết , dễ hiểu và dễ tiếp_thu .",Vui vẻ
"truyền_đạt những kiến_thức tốt .",Vui vẻ
"cô vui_tính .",Vui vẻ
"nếu có thì chỉ hướng_dẫn bằng lý_thuyết mà không làm bài_tập mẫu cho sinh_viên .",Buồn bã
"cô chưa có nhiều kênh bài_tập cho sinh_viên .",Trung lập
"bạn nào khá thì có_thể áp_dụng công_thức vào bài_tập cả lớp chưa đến 30 % còn thực_sự hiểu môn_học thì rất ít người hiểu .",Buồn bã
"thầy dạy hơi nhanh .",Buồn bã
"ít hướng_dẫn sinh_viên trong giờ thực_hành .",Buồn bã
"không thực_hành được buổi nào .",Buồn bã
"thầy dạy phần lý_thuyết hay , nắm_bắt được khả_năng của sinh_viên .",Vui vẻ
"ví_dụ đề_tài của em là doubledot các nguyên_lý cơ_bản , bao_gồm 7 nguyên_tắc của bohm ( 1983 ) .",Trung lập
"giáo_viên nhiệt_tình , dạy dễ hiểu , tận_tình với sinh_viên .",Vui vẻ
"tân tâm , nhiệt_tình trong lớp lẫn bên ngoài .",Vui vẻ
"thầy giảng_dạy tận_tâm nhiệt_tình .",Vui vẻ
"thầy vui_tính , giảng bài dễ hiểu , nhiệt_tình .",Vui vẻ
"thầy_giáo dạy nhiệt_tình .",Vui vẻ
"dạy dễ hiểu , gần_gũi sinh_viên .",Vui vẻ
"cô dạy rất nhiệt_tình và tài_liệu của cô rất cụ_thể dễ hiểu , cô hướng_dẫn rất tận_tình .",Vui vẻ
"mong thầy cố_gắng trong các học_kỳ sau .",Trung lập
"cần đưa ra nhiều ví_dụ minh_họa hơn .",Trung lập
"giảng_viên hoà_đồng , vui_vẻ , chỉ giảng tận_tình sinh_viên ham học_hỏi .",Vui vẻ
"giảng_viên không dạy một tiết thực_hành nào .",Buồn bã
"không !",Trung lập
"nên có sự thống_nhất giữa các giảng_viên bộ_môn trong đề_cương giảng_dạy .",Trung lập
"có những phần kiến_thức chỉ một nửa lớp được học nhưng giảng_viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh_viên còn lại khó nắm được .",Buồn bã
"máy_tính cập_nhật nhanh hơn .",Trung lập
"vui , hòa đồng , nhiệt_tình .",Vui vẻ
"có giúp_đỡ sinh_viên học_tập nghiên_cứu .",Vui vẻ
"giảng_viên tận_tâm , nhiệt_tình , ham học_hỏi .",Vui vẻ
"tuy_nhiên cô nên cân_nhắc lại về số_lượng yêu_cầu đối_với sinh_viên để sinh_viên không bị khớp vì quá nhiều dẫn đến làm qua_loa cho có , như_vậy thì kết_quả lại không tốt .",Trung lập
"cô rất tận_tâm , rất ok , em rất thích cách dạy và học của cô ( mặc_dù hơi nhanh tí ) .",Vui vẻ
"mong thầy và nhà_trường xem_xét_lại những điều em vừa nói .",Trung lập
"thầy tận_tâm , nhiệt_tình , tạo động_lực cho sinh_viên .",Vui vẻ
"thầy_giáo tận_tình , dạy kỹ , thường đưa ra câu hỏi để xem_xét mức_độ hiểu_biết của sinh_viên .",Vui vẻ
"cần tăng cương trao_đổi giữa sinh_viên và giáo_viên .",Trung lập
"nói_chung là nghe không bao_giờ nghe rõ được .",Buồn bã
"cách truyền_đạt của giáo_viên chưa có sức hút đối_với sinh_viên nhiều cho lắm .",Buồn bã
"cô_giáo thân_thiện dễ gần , thực_hành nhiều .",Vui vẻ
"chưa tiếp_thu trọn_vẹn .",Buồn bã
"cần cải_tiến trang thiết_thực_hành .",Trung lập
"giảng kỹ hơn .",Trung lập
"còn hơi kéo thời_gian .",Buồn bã
"có nhiều bài_tập về nhà cơ_bản lẫn nâng cao và giảng_viên sửa bài đủ .",Trung lập
"thầy rất hiền và kiên_trì giảng_dạy cho lớp mặc_dù môn_học này đối_với em không được hứng_thú lắm .",Vui vẻ
"đôi lúc giảng bài hơi nhanh .",Buồn bã
"có một_số buổi không đi dạy .",Buồn bã
"thầy nhiệt_tình và dạy dễ hiểu .",Vui vẻ
"có kiến_thức nền_tảng này , sinh_viên có_thể học thêm bất_kỳ_công_nghệ_cụ_thể nào đó dễ_dàng , cũng như tiếp_thu thay_đổi công_nghệ mới nhanh_chóng .",Trung lập
"cấu_trúc đề_cương của thầy chưa rõ_ràng , lý_thuyết chưa được trình_bày rõ trong các buổi học .",Buồn bã
"tài_liệu hỗ_trợ toàn tiếng anh rất khó học .",Buồn bã
"chưa nhận được gì từ môn_học này .",Buồn bã
"giảng_viên không hề giảng_dạy , chỉ đưa đề_cương rồi thôi .",Tức giận
"bài_tập mỗi tuần đều có và đầy_đủ .",Trung lập
"em xin cảm_ơn .",Trung lập
"thầy cần phải cho sinh_viên biết được học môn này có tác_dụng gì và làm được gì khi học xong .",Trung lập
"đề_nghị tăng thời_gian thưc hành .",Trung lập
"không được làm những chuyện riêng trong lúc dạy thực_hành .",Trung lập
"hỗ_trợ thêm giáo_trình không phải slide cho sinh_viên .",Trung lập
"cô wzjwz259 rất vui và nhiệt_tình .",Vui vẻ
"giáo viện nhiệt_tình , tận_tâm .",Vui vẻ
"kiến_thức được giảng_viên trình_bày rõ_ràng , dễ hiểu cho sinh_viên .",Vui vẻ
"cần thêm nhiều kit để thực_hành .",Trung lập
"dạy khó hiểu quá nhanh .",Buồn bã
"luôn gần_gũi , tham_khảo ý_kiến sinh_viên và thống_nhất cũng sinh_viên .",Vui vẻ
"sắp_xếp lịch học bù chưa hợp_lý .",Buồn bã
"nhà_trường nên đưa môn_học này vào thời khóa biểu bắt_buộc ở học_kỳ 1 của các sinh_viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển_đổi ngành hay không .",Trung lập
"thời_gian thực_hành cần nhiều hơn .",Trung lập
"giảng_viên rất nhiệt_tình trong giảng_dạy .",Vui vẻ
"slide chuẩn_bị chưa tốt .",Buồn bã
"thầy hay đòi_hỏi sinh_viên những điều hơi quá cao .",Buồn bã
"cô giảng hướng_dẫn_nhiệt_tình .",Vui vẻ
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô_hình thì lớn và phức_tạp .",Buồn bã
"giảng quá nhiều không đánh vào trọng_tâm .",Buồn bã
"em không muốn nói gì nhưng mong thầy xem_lại cách đánh_giá sinh_viên để công_bằng hơn , cái sinh_viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng_dạy , truyền_đạt ở giảng_viên , ví_dụ như cô wzjwz324 , rất dễ hiểu , tận_tâm .",Buồn bã
"cô có nhiều hình_thức giảng_dạy hay .",Vui vẻ
"hơi khó .",Buồn bã
"thầy đi trễ .",Buồn bã
"giảng tốt .",Vui vẻ
"nói mở_rộng nhiều vấn_đề về môn_học .",Trung lập
"cần tăng_cường nội_dung nghe và nói để sinh_viên giao_tiếp tốt hơn bằng tiếng anh .",Trung lập
"giảng_viên tạo điều_kiện làm nhiều bài_tập .",Trung lập
"hỗ_trợ thêm về các thiết_bị dạy và học .",Trung lập
"ít giải bài_tập trên lớp .",Buồn bã
"chia_sẻ .",Trung lập
"bám sát nội_dung chính .",Trung lập
"cần thêm các đoạn code cho các giải_thuật bổ_sung các phương_pháp để giải_quyết các bài_toán liệt_kê .",Trung lập
"thông_tin đầy_đủ về bài_tập và các nguồn tham_khảo .",Trung lập
"cô tận_tâm , nhiệt_tình , phương_pháp dạy dễ hiểu .",Vui vẻ
"thầy giảng rất dễ hiểu và thú_vị , thu_hút .",Vui vẻ
"hướng_dẫn chi_tiết về cách thực_hành .",Trung lập
"giảng_viên chỉ cho đồ_án và giải_đáp các yêu_cầu đồ_án , không cung_cấp tài_liệu hay hướng_dẫn cơ_bản , sinh_viên tự tìm_hiểu với lý_do là hệ tài_năng nên cần tự xoay sở .",Tức giận
"môn_học toàn kiến_thức mới_mẻ , giảng_viên nên giảng chi_tiết hơn .",Trung lập
"đến khi cuối kỳ , chỉ cần sinh_viên mắc một sai_sót nhỏ thì sẽ rớt môn .",Sợ hãi
"cần thay_đổi cách dạy và nội_dung học của phần thực_hành , các bài thực_hành hiện_tại của môn mạng máy_tính chưa đảm_bảo hiệu_quả .",Trung lập
"thầy dạy hay , tận_tình góp_ý từng bài .",Vui vẻ
"cơ_sở vật_chất , phỏng máy không đủ phích cắm cho dụng_cụ thực_hành và số_lượng sinh_viên , máy còn tiềm_ẩn nhiều virus .",Tức giận
"trên lớp lý_thuyết_giảng_viên yêu_cầu sinh_viên phải thực_hiện đồ_án theo những gì mình hướng_dẫn , những nhóm sinh_viên bổ_sung thêm những liên_hệ thực_tiễn đều bị cho là sai , không phù_hợp với đồ_án .",Tức giận
"thầy giảng bài hay và hiệu_quả !",Vui vẻ
"giảng_viên nhiệt_tình vui_vẻ .",Vui vẻ
"phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .",Trung lập
"chương_trình dạy lý_thuyết và thực_hành nên khớp với nhau hơn , tránh tình_trạng thực_hành trước khi học lý_thuyết .",Trung lập
"thầy giảng_dạy nhiệt_tình , dễ hiểu .",Vui vẻ
"mong giảng_viên ngày_càng chấn_chỉnh việc dạy_học để các khoá sau được hiểu tốt hơn .",Trung lập
"thầy dạy rất có tâm , và giảng cho sinh_viên rất nhiều thứ !",Vui vẻ
"nội_dung khảo sat quá dài , nhiều mục_lặp_đi lặp_lại , nhiều bạn khảo_sát mà không cần đọc , toàn tích chàn .",Buồn bã
"dạy tốt và rất nhiệt_tình chỉ dạy hoc sinh .",Vui vẻ
"nhiệt_tình , tân tâm .",Vui vẻ
"nhưng học mới thấy kiến_thức thầy dạy rất hay , bám sát thực_tế , thầy dạy rất nhiệt_tình , vui_vẻ , khác với mọi người nói .",Vui vẻ
"bài_tập rất hay .",Vui vẻ
"thầy cô cần cho nhiều dạng bài_tập sát với đề thi hơn .",Trung lập
"thầy giảng hay nhưng nên tự_tin hơn , nói to hơn để học_sinh hiểu bài một_cách rõ_ràng hơn .",Trung lập
"mong thầy vui_tính , gần_gũi với sinh_viên hơn .",Trung lập
"giáo_viên vui_tính , hòa đồng , nhiệt_tình .",Vui vẻ
"cung_cấp kiến_thức trọng_tâm .",Trung lập
"cố_gắng truyền_đạt một_cách tốt nhất để sinh_viên được hiểu .",Vui vẻ
"giọng của giảng_viên nhỏ dù đã sử_dụng micro .",Buồn bã
"dù phương_pháp học_tập này khá hiệu_quả nhưng vẫn có chút nào đó nghi_ngờ từ phần thuyết_trình của các bạn , liệu các kiến_thức đó có chuẩn_xác và cập_nhật chưa .",Trung lập
"giáo_viên có phong_cách giảng_dạy nghiêm_túc .",Trung lập
"cô rất vui_tính nà , không_khí lớp lúc_nào cũng vui hết , cô dạy rất hay , dễ hiểu !",Vui vẻ
"giảng_viên giảng_dạy rất tốt , thường_xuyên cung_cấp thêm nhiều kiến_thức .",Vui vẻ
"thầy luôn nhiệt_tình , có những chia_sẻ rất gần_gũi với sinh_viên .",Vui vẻ
"có khả_năng truyền_đạt tốt .",Vui vẻ
"thậm_chí còn không có bài nào khó bằng các bài trong nội_dung của lớp chuyên tin ở các trường cấp 3 .",Trung lập
"thầy dạy tận_tụy và tâm_huyết .",Vui vẻ
"thầy nên có cách dạy mới cho môn_học này để được kết_quả tốt cho tất_cả mọi người thay_vì để rớt rất nhiều người !",Trung lập
"lịch thi thực_hành cần được thông_báo sớm tới sinh_viên và phù_hợp với thời_gian môn_học .",Trung lập
"cô nên giảng kỹ và chi_tiết từng bài vì nhiều bài đa_số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .",Buồn bã
"dạy tốt đúng trọng_tâm những gì cần biết .",Vui vẻ
"nhiệt_tình , lên_lớp đúng giờ , dạy dễ hiểu .",Vui vẻ
"nếu em buồn_ngủ , dù lên_lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .",Buồn bã
"cơ_mà em học môn này em hiểu colonlove .",Vui vẻ
