Sentence,Emotion
"giáo_viên nhiệt_tình , đi dạy đúng giờ .",Vui vẻ
"người tôi cần, chẳng bao giờ ở lại đủ lâu",Buồn bã
còn tao là thoát khỏi 3 năm nói riền và 12 năm nói chung thảm họa của cđ hahaha 😆😆😆😆,Vui vẻ
ý thức người khác không tốt thì cũng chẳng bao biện được hành xử của bạn không tốt . nghe từ đầu đến cuối là tiếng la hét chửi rủa -.-,Tức giận
"dạy nhiệt_tình , khách_quan .",Vui vẻ
cần lắm những sẻ chia . cần lắm những thấu hiểu,Buồn bã
không có gì phàn_nàn về giảng_viên .,Vui vẻ
đột nhiên người bạn thân không trả lời tin nhắn cả ngày,Sợ hãi
cô yêu_cầu thuyết_trình đơn mà em rất sợ nói trước đám_đông .,Sợ hãi
"Chuyện nhỏ cũng không làm được, thì còn làm được gì nữa?",Tức giận
do chương_trình mới dạy bằng tiếng anh nên gây khó_khăn cho chúng em trong việc tiếp_thu kiến_thức .,Buồn bã
"em không muốn nói gì nhưng mong thầy xem_lại cách đánh_giá sinh_viên để công_bằng hơn , cái sinh_viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng_dạy , truyền_đạt ở giảng_viên , ví_dụ như cô wzjwz324 , rất dễ hiểu , tận_tâm .",Buồn bã
đi dạy đầy_đủ .,Vui vẻ
có các phần ôn_tập không liên tới bài kiểm_tra .,Buồn bã
đm mẹ bạn thân,Tức giận
"em không muốn lặp lại những sai lầm, nhưng lại vấp ngã",Buồn bã
đeo hiểu sao muôn lây chồng tây để sem chúng nó nhậu nhẹt nói chuyện có khác mấy thằng việt nam hãm lồn không,Tức giận
mọi thứ xung quanh tôi như đang cảnh báo điều gì,Sợ hãi
Con đường mòn trong rừng đột nhiên biến thành vực thẳm,Sợ hãi
ức chế lắm cụ ạ . đi trong phố cổ còn chưa dừng hẳn đã bị gõ cửa xua đi .,Tức giận
"có tài nhưng đôi lúc muốn làm diễn viên hài 🤣🤣🤣, khoái thanh niên này buồn cười vkl",Vui vẻ
"giảng_viên dạy dễ hiểu , đi dạy đúng giờ .",Vui vẻ
thảo mai.,Trung lập
"giữa hàng ngàn người, tôi vẫn chỉ có mình",Buồn bã
còn gì đau hơn,Buồn bã
thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,Tức giận
"thầy dạy rất dễ hiểu , vui_vẻ , dễ_chịu .",Vui vẻ
maii ban thanh nhung nhớ cái này không hic 😭😭😭😭😭,Buồn bã
giáo_viên giảng khó hiểu .,Buồn bã
Bàn tay lạnh,Sợ hãi
đối_với người lần đầu tìm_hiểu directx với những yêu_cầu đặt ra là rất khó.,Trung lập
"giảng_dạy dễ hiểu , ngắn_gọn , không cầu kỳ .",Vui vẻ
cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được,Tức giận
"thật vô_lý khi dùng màn chiếu để dạy toán 100 % , cách này khiến sinh_viên không_thể_nào theo kịp những điều giảng_viên nói và cũng không có cơ_hội lên bảng giải bài_tập .",Tức giận
"thầy rất vui , cực_kỳ nhiệt_tình .",Vui vẻ
cô nên tăng_tốc_độ giải bài hơn .,Trung lập
cô rất nhiệt_tình và gửi nhiều tâm_huyết trong bài giảng .,Vui vẻ
cần bổ_sung phần kiến_thức pattern severside .,Trung lập
cũng ổn .,Trung lập
"đề bài dài và rối , em đọc xong thấy hoang_mang .",Sợ hãi
kiến_thức được khơi thông quá nhiều .,Trung lập
"thầy dạy vui , không khô_khan , liên_tưởng tốt .",Vui vẻ
"tận_tình , không có thời_gian chết .",Vui vẻ
vì em đã gần như_không có được gì !,Buồn bã
và thế những thanh niên ô dâm vào bình luận về cô giáo mình như đúng rồi . nhân cách mất mẹ nó rồi,Tức giận
bạn thân đăng story đầy ẩn ý rồi biến mất khỏi mạng xã hội,Sợ hãi
thầy có một sự hiểu_biết rộng ở nhiều lĩnh_vực kể_cả trong giảng_dạy và ngoài đời_sống .,Vui vẻ
bỏ quên não đó chứ đâu phải rác 😂,Tức giận
có ứng_dụng thực_tiễn thích_hợp !,Vui vẻ
lòng tôi vỡ vụn khi nhìn mẹ khóc lén sau bếp,Buồn bã
phương_pháp giảng_dạy không phù_hợp với sinh_viên.,Tức giận
"thầy mới gặp sinh_viên có 2 buổi , nội_dung khá khó hiểu để nắm .",Buồn bã
"cần phân_bố lại thời_gian lên_lớp , đừng kéo_dài thời_gian khi đã hết buổi học .",Trung lập
em muốn chạy trốn khỏi chính mình,Buồn bã
thời_gian nộp bài thực_hành quá ngắn .,Tức giận
"tận_tình , vui_tính colonlove .",Vui vẻ
đảm_bảo đúng thời_gian lên_lớp .,Trung lập
em sợ bị xem là yếu kém nếu xin thêm thời gian nộp bài .,Sợ hãi
"giảm tải bớt lý_thuyết và nên đưa các ví_dụ thực_tiễn vào nội_dung giảng_dạy giúp sinh_viên định_hướng được nội_dung , mục_đích và cách áp_dụng môn_học vào nghề_nghiệp sau khi ra trường .",Trung lập
cần ôn_tập kỹ trước khi thi .,Trung lập
giảng_viên nhiệt_tình hướng_dẫn sinh_viên.,Vui vẻ
"giảng_viên lên_lớp đúng giờ , cho nhiều bài_tập hay và bổ_ích .",Vui vẻ
"đù . tròn ung ủng , chân tay ngẵn cũn như tao nhảy sao",Buồn bã
"thầy dạy hay , hướng_dẫn cụ_thể .",Vui vẻ
em thấy tiếng khóc vọng lại trong ký túc giữa đêm khuya.,Sợ hãi
Tôi rất lo lắng về việc mình có thể bị mắc kẹt trong một tình huống mà không thể thoát ra.,Sợ hãi
em sợ bị thầy cô ghét nếu làm sai bài .,Sợ hãi
"thầy ít khi giảng bài , thường để sinh_viên tự xem tài_liệu là chủ_yếu .",Buồn bã
Đồng hồ đeo tay quay ngược chiều kim chỉ 13 giờ đúng,Sợ hãi
Sao bạn lại phản bội tôi như thế?,Tức giận
em sợ mình bị cô lập trong lớp .,Sợ hãi
"đất nước bao nhiêu khoản phải tri trả , nhưng phải trả cho một đám cổ động viên quá khích thì quả là không đáng , các cụ đã bảo mọi sự ngu dốt đều phải trá giá bằng tiền mặt , bảo dân trí thấp lại tự ái :))",Tức giận
chắc cũng sẽ không ảnh_hưởng nhiều lắm đến thời_gian dạy bài mới trên lớp .,Trung lập
Cảm giác không chắc chắn về những gì sẽ xảy ra trong tương lai khiến tôi rất bất an.,Sợ hãi
"giọng truyền_cảm , cho ví_dụ cụ_thể .",Vui vẻ
mỗi lần nghe tiếng còi cấp cứu là lo sợ có chuyện xảy ra,Sợ hãi
"không biết ứng_dụng , kể_cả trên phương_diện lý_thuyết .",Buồn bã
tôi rất hài_lòng .,Vui vẻ
mọi thứ đến rồi đi như chưa từng xảy ra,Buồn bã
very good .,Vui vẻ
chưa thúc_đẩy học_sinh_học_tập .,Buồn bã
giảng_viên phải nên cho ví_dụ cụ_thể những phần quan_trọng nên nói kỹ có_thể lấy ví_dụ minh_họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm_giác chán cho sinh_viên .,Tức giận
"đây là tây chứ mấy thằng việt nam như này , đảm bảo kêu ngáo đá :vậy",Tức giận
tôi mệt với việc phải tỏ ra ổn,Buồn bã
thầy đẹp_trai nhưng trông có pha chút nữ_tính .,Trung lập
giảng_viên hay nói sinh_viên đi học ít là không tôn_trọng mình nhưng bản_thân giảng_viên thường_xuyên nghỉ mà không báo trước .,Tức giận
thầy rất nhiệt_tình và có_thể có giảng lại cả chương khi lớp không hiểu .,Vui vẻ
ngày nào cũng có thư nặc danh gửi đến nhà tôi,Sợ hãi
giáo_viên nói tiếng hơi khó nghe .,Buồn bã
tội quá ! nuôi mà không chăm sóc,Buồn bã
tạo điều_kiện để sinh_viên tham_gia vào bài_học .,Trung lập
"phòng lab thực_hành cơ_bản vẫn còn thiếu chất_lượng , máy yếu , trường mình vẫn còn xài màn_hình crt nản , mang danh trường công_nghệ thông_tin .",Tức giận
đôi khi em sợ chính suy nghĩ của mình.,Sợ hãi
quá mất thời_gian cho những buổi thực_hành đầu_tiên .,Buồn bã
giảng_viên phải đảm_bảo giờ lên_lớp .,Trung lập
"a trai mình từng làm trung nguyên 3 năm thôi . cũng gặp qua bà thảo với ông vũ rồi , bà thảo đúng chất con buôn , tham lam lắm , chả có tâm chút nào 👌",Tức giận
không chỉ phần_mềm .,Trung lập
"có nhiều nội_dung liên_quan tới thực_tiễn , có_thể áp_dụng vào thực_tế sau_này .",Trung lập
có dấu chân bùn dẫn vào phòng ngủ trong khi cửa đã khóa,Sợ hãi
"giảng_viên tận_tình giúp_đỡ, giảng_dạy dễ hiểu, dễ tiếp_thu.",Vui vẻ
tôi thấy người giống tôi đứng ngoài ban công giữa trời tối,Sợ hãi
nội_dung chưa cô động .,Trung lập
"thầy dạy ổn , đúng với lý_thuyết .",Vui vẻ
với lượng kiến_thức nhiều nên gây_sự khó hiểu không tiếp_thu kịp .,Buồn bã
chưa rõ mục_tiêu và các bước thực_hiện bài_tập truy vấn dbpedia và tạo ontology .,Trung lập
"giờ học luôn sinh_động , hiệu_quả , giúp học_sinh nắm vững kiến_thức .",Vui vẻ
"kỳ sau em có_học một môn của chị nữa đó , nhớ giúp em qua môn nha chị .",Trung lập
"giảng sinh_động hơn , giao_tiếp với sinh_viên bằng tiếng anh thay_vì đa_phần là tiếng việt .",Vui vẻ
tài khoản bị đăng nhập từ một thành phố chưa từng đến,Sợ hãi
em chẳng còn ai để nhắn tin mỗi sáng,Buồn bã
"thầy lên_lớp đúng giờ , nhiệt_tình trong giờ lên_lớp , truyền_đạt khá đầy_đủ kiến_thức .",Vui vẻ
"em chẳng mong điều gì nữa, vì mong rồi lại thất vọng",Buồn bã
"năng_nổ , nhiệt_tình .",Vui vẻ
"tận_tâm , giảng hay , dễ hiểu .",Vui vẻ
mong trường xem_lại phương_pháp dạy của thầy .,Trung lập
nên cài các phiên_bản visual studio mới hơn .,Trung lập
em rất lo vì chưa có tài liệu học tập rõ ràng .,Sợ hãi
"bỗng dưng đèn trong nhà tắt hết, tối đen như mực",Sợ hãi
per phim này thấy trailer hấp dẫn ghê 😁,Vui vẻ
em chẳng biết liệu có ai đợi mình ở bên kia ngày tháng,Buồn bã
"giảng_viên hay cho nghỉ tiết , lịch học bù đôi_khi trùng với giờ học các môn khác nên có chút ảnh_hưởng đến việc học .",Trung lập
bị bắt gặp khi đang làm điều sai trái,Sợ hãi
tôi nghe tiếng kéo lê trên sàn nhà dù sống một mình,Sợ hãi
ủa làm gì đánh tao muốn chết vậy đuỹ ?,Tức giận
"các hoạt_động trao_đổi , thảo_luận trên moodle hầu_như không có , rất hạn_chế .",Tức giận
cô không sử_dụng hệ_thống course của trường.,Trung lập
"thầy dạy rất nhiệt_tình , cập_nhật thường_xuyên những công_nghệ mới trong giảng_dạy .",Vui vẻ
"nên cung_cấp cho sinh_viên thêm nhiều tài_liệu , cũng như bắt kịp xu_thế phát_triển của công_nghệ để không bị lỗi_thời lạc_hậu .",Trung lập
per bữa nào làm thử mày,Trung lập
ít thực_tế .,Trung lập
thầy nghiêm_khắc và nhiệt_tình .,Vui vẻ
cô ấy hết thương tao rồi,Buồn bã
"bị rơi điện thoại khi đang live stream, giờ không dám mở lại vì sợ thấy gì lạ",Sợ hãi
nên biên_soạn tài_liệu tiếng việt đi kèm .,Trung lập
em thấy khó chịu khi phải hợp tác với người không quen .,Sợ hãi
"nội_dung môn_học còn mới , khá nặng , quá nhiều kiến_thức gây khó_khăn cho sinh_viên trong việc tiếp_thu .",Tức giận
"giảng_viên rất nhiệt_tình , tạo mọi điều_kiện cho sinh_viên hoàn_thành tốt môn_học .",Vui vẻ
có nhiều thời_gian chết trong giờ học .,Trung lập
em bỏ lỡ nhiều cơ hội chỉ vì sợ sai,Buồn bã
"thầy giảng khá hay, không buồn_ngủ.",Vui vẻ
tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,Buồn bã
khổ tâm ghê =)),Buồn bã
dạy lướt nhanh lý_thuyết .,Buồn bã
chưa được chuyên_sâu về nội_dung lắm .,Buồn bã
"không_gian học thoải_mái , giảng_viên không tạo áp_lực cho sinh_viên .",Vui vẻ
nhớ cái váy với bộ tóc chấm bi đen trắng của anh huy ghê,Trung lập
"cần thêm nhiều thông_tin , tài_liệu về môn_học .",Trung lập
"giảng_viên năng_nổ , hoạt_bát , dễ gần .",Vui vẻ
ai chưa xem thì nên xem 1 lần đi . đảm bảo không phí 3h đồng hồ của các bạn 😃,Vui vẻ
thầy giảng_dạy đầy_đủ không bỏ sót kiến_thức .,Vui vẻ
"thầy dạy khá hay và chi_tiết , dễ tiếp_thu .",Vui vẻ
người trợ giảng không hề tồn tại trong danh sách nhân sự,Sợ hãi
ngoài_ra cô nên đưa ra các chủ_đề cụ_thể về đồ_án và chỉ rõ điểm gì làm cho đồ_án này phải sử_dụng cơ_sở tri_thức mà không sử_dụng hệ cơ_sở dữ_liệu quan_hệ thông_thường .,Trung lập
"tuy_nhiên, thái_độ của sinh_viên trường uit với môn_học này làm tôi rất rất thất_vọng.",Buồn bã
lở có sự cố vì đó so với kỷ luật vây có bằng không,Trung lập
giảng_viên nên quan_tâm nhiều hơn đến mức hiểu bài của sinh_viên qua mỗi giờ học bằng cách hỏi những câu hỏi liên_quan ở cuối giờ qua đó cộng điểm để tạo thêm sự yêu thích môn_học .,Trung lập
"cười_duyên , rất tốt với học_sinh .",Vui vẻ
viết quá nhiều .,Buồn bã
diễn viên già vãi -.-,Tức giận
trừ những điều không hài_lòng một_chút thì trên cả tuyệt_vời colonhihi .,Vui vẻ
Tiếng kêu 'cứu tôi' vọng lên từ hố ga tối om,Sợ hãi
giảng_viên nhiệt_tình và tận_tâm với sinh_viên .,Vui vẻ
thầy dạy rất hay và rất nhiệt_tình điểm_danh .,Vui vẻ
thầy dạy tốt và nhiệt_tình,Vui vẻ
"trừ khi đường có biển cấm dừng đỗ thì mới không được đỗ , còn có phải phố nào cũng kẻ ô cho ô tô đỗ đâu",Trung lập
thầy dạy có hiệu_quả .,Vui vẻ
mong cô cải_thiện kỹ_năng trình_bày bảng ạ !,Tức giận
"đừng để râu , móng tay cắt gọn gàng . nếu mà thơm nữa thì 8d chuẩn mẹ rồi",Trung lập
"thầy dạy dễ hiểu , hướng_dẫn bài_tập đầy_đủ .",Vui vẻ
"mỗi khi ghi chú, nét chữ của mình dần thay đổi thành nét người khác",Sợ hãi
em không biết ai sẽ nhớ đến mình khi em rời đi,Buồn bã
"giảng_viên có giọng nói tốt , truyền_đạt dễ hiểu .",Vui vẻ
"thầy dạy hay , cho bài_tập rất nhiều .",Vui vẻ
cái video đầu làm hết hồn per per,Sợ hãi
cần có thêm tài_liệu cụ_thể và cập_nhật mới .,Trung lập
per kỉ niệm nhất là những ngày trốn học cùng nhau đi xem phim 😂😂😂,Vui vẻ
con mụ đen sai còn già mồm ...,Tức giận
Tôi sợ rằng mình sẽ không thể đối phó với những thay đổi bất ngờ trong cuộc sống.,Sợ hãi
thầy dạy rất nhiệt_tình và vui_vẻ .,Vui vẻ
nt thêm cái dạ vâng thấy quý vãi,Vui vẻ
Luôn cảm thấy có điều gì đó không ổn khi phải đối mặt với tình huống mới.,Sợ hãi
"thầy wzjwz27 cần giảng bài rõ_ràng hơn , khi giảng cần nói to hoặc dùng micro để mọi người trong lớp cùng nghe cũng như chú_ý đến bài giảng .",Trung lập
cô biết lắng_nghe sinh_viên nói .,Vui vẻ
bt mà tao vẫn lạng lách ở đây suốt,Vui vẻ
"không_khí vui_vẻ , thoải_mái .",Vui vẻ
"giảng_dạy nhiệt_tình , vui_vẻ .",Vui vẻ
"Hôm nay đúng là một ngày tồi tệ, toàn chuyện bực mình.",Tức giận
"tôi là người cuối cùng rời khỏi bữa tiệc, như mọi khi",Buồn bã
Tiếng rên rền,Sợ hãi
slide hơi khó hiểu .,Buồn bã
quả cr7 mà kill đéo gì nhỉ,Tức giận
Bộ sưu tập nến tan chảy thành hình mặt người,Sợ hãi
chỉ bài tận_tình .,Vui vẻ
"giáo_viên dạy dễ hiểu và sinh_động , không gây cảm_giác nhàm_chán .",Vui vẻ
"cô giúp tụi em tìm ra , phát_hiện lỗi và sửa lỗi trong quá_trình thực_hành .",Vui vẻ
per nè chị,Trung lập
"ví_dụ nhiều , ôn_tập kỹ .",Trung lập
cô viết hướng_dẫn còn sơ_sài quá.,Buồn bã
Tôi rất sợ khi phải làm việc trong một môi trường có quá nhiều áp lực.,Sợ hãi
"giảng_viên nhiệt_tình , bài giảng thu_hút .",Vui vẻ
"nhiều người nói con này giả ngu câu thích , nhưng xem lại nhiều lần thấy nó ngu thiệt chứ không phải giả bộ",Tức giận
"giảng_viên vui_vẻ hòa đồng, tận_tâm với sinh_viên, truyền_đạt kiến_thức tốt.",Vui vẻ
"thầy tận_tình , dạy dễ hiểu .",Vui vẻ
cách thầy giảng_dạy không phù_hợp với em .,Tức giận
tôi nhìn thấy bóng ai đó chạy qua gương,Sợ hãi
thầy nên bỏ ra một_vài tiết để làm bài_tập vì lượng ví_dụ thầy cho khá nhiều .,Trung lập
cần thêm phần dạy lập_trình căn_bản bằng ngôn_ngữ c .,Trung lập
nếu có thì chỉ hướng_dẫn bằng lý_thuyết mà không làm bài_tập mẫu cho sinh_viên .,Buồn bã
per cảm ơn tôi đi . thấy tầm quan trọng của máy chém gió chưa,Vui vẻ
theo sát kỹ sinh_viên .,Vui vẻ
"khi xưa bị rượt 1 lần mà nhớ đời , còn mổ tao nữa chứ 😨😨😨",Sợ hãi
nhiều lúc giảng_dạy nói hơi nhanh .,Tức giận
tôi thấy bóng người lướt qua nhanh trên bức tường,Sợ hãi
kiến_thức môn anh văn được đáp_ứng nhưng không thực_tế .,Buồn bã
một bóng người đứng bất động trước ký túc xá nhiều giờ liền,Sợ hãi
mới đọc xong một bài báo về bắt cóc trẻ em mà sợ quá,Sợ hãi
"cô dạy dễ hiểu , nhiệt_tình , vui_vẻ .",Vui vẻ
minh tu nguyen thuận phạm quan trọng đồng nghiệp có hợp phong thuỷ với mình hay không hâhhah,Vui vẻ
"nội_dung môn_học có tính áp_đặt người học, không thực_tế, nên thay nội_dung giảng_dạy bằng việc dạy thêm những thứ có liên_quan đến ngành sinh_viên đang học mảng web thì cần biết php, html, cs, js, hay làm về embeded system thì cần c.",Trung lập
cách dạy môn này của giảng_viên vô_tình càng làm phân_loại sinh_viên ( giỏi càng giỏi hơn còn yếu rồi thì có muốn học cũng khó mà học được nên càng ngày_càng yếu ) .,Buồn bã
"giọng cô nhỏ , không nên sắp ở giảng_đường vì sẽ rất dễ gây buồn_ngủ và không nghe rõ được .",Buồn bã
"thầy rất nhiệt_tình , trong quá_trình dạy .",Vui vẻ
Con diều quấn dây thép gai đâm sầm xuống trước mặt,Sợ hãi
cầu mưa ... mà sao không mưa nhỉ,Trung lập
mọi thứ dường như đã vượt quá sức chịu đựng,Buồn bã
dm . nó xấu cả tính lẫn nết bố đẻ . nó còn không chịu . được thằng nào bốc nó đi cái,Tức giận
em sợ khi thầy cô yêu cầu làm bài cá nhân nhưng em chưa biết cách làm .,Sợ hãi
thầy cung_cấp những thông_tin rất mới và rất có_ích cho sinh_viên cả về học_tập và làm_việc sau_này !,Vui vẻ
đang xem phim thì tivi tự chuyển kênh sang màn hình trắng,Sợ hãi
"thầy đi dạy không đúng giờ , toàn bắt sinh_viên chờ từ 30 phút đến 1 tiếng .",Tức giận
"nội_dung ôn_tập thi giữa kỳ và cuối kỳ nên đa_dạng hơn , có thêm các câu hỏi lý_thuyết suy_luận thay_vì chỉ là 10 % bài_tập có_thể khiến nhiều sinh_viên không hiểu rõ nội_dung môn_học mà chỉ biết làm bài_tập .",Trung lập
em từng bị lạc trong rừng khi đi dã ngoại hồi cấp hai.,Sợ hãi
mọi thứ đều ổn .,Trung lập
giảng_viên tận_tình với sinh_viên chỉ_bảo dễ hiểu !,Vui vẻ
"thầy tích_cực lên_lớp , không nghỉ buổi nào .",Vui vẻ
mất rồi có lấy lại được đâu :)) cái gì nó cũng chỉ là quá khứ,Buồn bã
"nghe được đó , ảnh hưởng tới môi trường là phải cấm",Trung lập
không quan_tâm sinh_viên có nắm được kiến_thức hay không .,Buồn bã
kiến_thức ngữ_pháp và viết đạt .,Trung lập
em cảm_thấy sự tương_quan giữa tiết học thực_hành và lý_thuyết chưa hợp_lý lắm .,Buồn bã
"giảng_viên giảng_dạy còn chưa tận_tâm , nhiệt_tình .",Buồn bã
cô giảng có hơi khó hiểu .,Buồn bã
các dụng_cụ thực_hành không được cung_cấp đầy_đủ .,Buồn bã
góp_phần truyền_cảm_hứng cho học_viên .,Vui vẻ
nuôi gì mà không có tâm gì v nè,Tức giận
nhiệt_tình giúp_đỡ sinh_viên .,Vui vẻ
phương_pháp và nội_dung truyền_đạt hiệu_quả .,Vui vẻ
bằng tuổi người ta mình vẫn còn mải nghĩ chiều nay ăn gì 😢,Buồn bã
"thầy khá hài_hước , nói những việc thực_tế về ngành it , rất thiết_thực .",Vui vẻ
"giáo_trình lỗi_thời , quá hàn_lâm , xa với thực_tiễn .",Tức giận
"cô_giáo rất tích_cực trong giảng_dạy , truyền_đạt kiến_thức tới sinh_viên rất hay .",Vui vẻ
nhiều bạn chỉ copy code trên mạng nhưng điểm lại cao hơn những bạn thực_sự làm .,Buồn bã
"thế đường không cấm đỗ , bạn lấy quyền gì không cho người ta đỗ vậy",Tức giận
dạy bài hay .,Vui vẻ
giáo viên gọi tên mình khi không hề giơ tay phát biểu,Sợ hãi
"giang viên giảng_dạy nhiệt_tình , dễ hiểu .",Vui vẻ
gặp tao tao thuê giang hồ tới chém hết cả nhà nó luôn,Tức giận
mọi điều tôi muốn đều nằm ngoài tầm với,Buồn bã
"bây giờ con đã sai vì đã chưa làm gì được cho cha , con thật sự xin lỗi cha và mẹ ,",Buồn bã
"đổi_mới hình_thức kiểm_tra , đảm_bảo tính_chất thực_hành của môn_học .",Trung lập
"gần_gũi , tận_tình .",Vui vẻ
gió thổi qua cánh rừng phát ra tiếng hú rùng mình,Sợ hãi
tuy_nhiên môn_học được giảng bằng tiếng anh nên em cũng không nắm được hết nội_dung thầy giảng .,Buồn bã
"hai đứa chia tay , tao nhảy vào .",Vui vẻ
khi đủ trưởng thành và kinh tế . cơ mà nhỡ bác sĩ bảo cưới thì cũng phải cưới thôi 😂,Vui vẻ
"giảng_dạy kỹ , trình_bày logic .",Vui vẻ
tôi không còn chắc chắn ai là người và ai không,Sợ hãi
"phần lý_thuyết lặp_lại nên chán , không thu_hút .",Tức giận
