,Emotion,Sentence
161,Disgust,"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕"
75,Enjoyment,dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣
514,Sadness,ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵
1088,Sadness,giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((
72,Enjoyment,per tao được làm fan cứng giống mày rồi 🤣
1714,Surprise,xem cái này mới biết vốn tiếng anh của mình cũng khá !
270,Disgust,thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa
603,Enjoyment,ôi bé xinh gái vãi :))
1212,Enjoyment,cười sái mẹ quai hàm
1041,Sadness,rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ
1214,Sadness,tự dưng cay mẹ mắt
376,Fear,tao sợ thật sự :(((
1475,Enjoyment,per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎
530,Enjoyment,tốt quá
1319,Enjoyment,ông nào viết vui tính thế =)) cưng thật
1946,Surprise,không hiểu sao nhìu người lại thả haha nhỉ ??
313,Disgust,diễn viên già vãi -.-
21,Enjoyment,ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂
1464,Enjoyment,cưng quá đi
1618,Surprise,nhìn mẫu này lạ mắt mà đẹp quá
632,Sadness,tao cay mẹ khoé mắt
1768,Disgust,thấy mệt thêm chứ chẳng khỏe gì cả .
559,Enjoyment,":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !"
120,Enjoyment,"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘"
1455,Disgust,tao mệt chúng mày quá
705,Enjoyment,hahaha lúc trước ca làm có 4 chị em vui biết bao :))
1068,Disgust,đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄
650,Other,các bạn đang bảo con này ah 😂😂😂
498,Enjoyment,má chủ dễ thương vậy tao cũng muốn xin
995,Enjoyment,"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊"
698,Sadness,"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng"
601,Anger,địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được
1613,Enjoyment,nhìn thương quá ... lao động nghiêm túc
1033,Sadness,đm thực tế như này còn hay . tiếc là đéo ở gần mình =))
1119,Other,per mấy trụ kia em không tag được
312,Anger,nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác
1858,Surprise,per ơ ơ ơ đây là đâu vậy
1862,Anger,gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!
692,Disgust,"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó ."
968,Disgust,k phải là trời không cho mày yêu . vì m quá ngulon
152,Fear,"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :(("
1329,Sadness,hết tiền rồi này
415,Enjoyment,"đẹp , dẽ thương mà"
1115,Anger,tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ
850,Enjoyment,phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl
1099,Sadness,thế làm sao dỗ bạn gái đang giận :(
428,Anger,t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :)
31,Fear,loài này bé như ngón tay phàm ăn lắm sợ luôn
178,Disgust,"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ...."
881,Disgust,dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười
1136,Sadness,chẳng đủ dịu dàng để níu bước chân anh
918,Other,1 cái xe cup này ngày xưa bằng mấy cái nhà liền
1821,Enjoyment,mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó
1313,Sadness,em chưa có người yêu . có ai yêu em không . em cô đơn quá
1000,Enjoyment,nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊
229,Enjoyment,per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :)
160,Other,bả đòi cái gì vậy ?
518,Sadness,"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa"
553,Surprise,per biết không :)))
817,Sadness,dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .
232,Disgust,mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư
1396,Disgust,cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅
381,Disgust,lên án nhiều rồi mà vẫn thế .
1419,Disgust,thằng này ngu vãi
1658,Surprise,cây tre có tận trăm đốt luôn hả ???
1090,Sadness,nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn
1839,Disgust,"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép .."
176,Fear,"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆"
362,Enjoyment,có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀
1830,Disgust,tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣
849,Sadness,và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu
114,Disgust,thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu
21,Disgust,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz
1805,Disgust,tao thấy giống khùng với lại vô duyên chứ hay gì
566,Enjoyment,cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊
251,Fear,t gặp ngỗng chạy bỏ dép
1742,Disgust,"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta"
1679,Surprise,sao nó trèo lên được hay vậy @@
1444,Enjoyment,"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤"
727,Sadness,cuộc sống mà đành chịu thôi =(((
1373,Sadness,"cấp 3 , đáng tiếc nhất trong thời học sinh ^^"
616,Other,"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà"
1791,Enjoyment,"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3"
796,Disgust,dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔
672,Other,t thấy chả có gì thú vị .
478,Surprise,vậy mà củng chẳng hút được khách !
1773,Enjoyment,khi nào lên chùa ba vàng giải được vong thì kết hôn :))
1504,Disgust,thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣
1049,Enjoyment,chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon
800,Disgust,cận cảnh cái bụng nước lèo của boss =))) xài hao vãi
1066,Other,bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..
1294,Sadness,em đi bộ chết mẹ đây này
97,Enjoyment,"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">"
1325,Disgust,"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui ."
1857,Disgust,nhìn mặt nó khó ưa thật chứ
593,Other,lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-)
945,Other,giờ lên phường người ta có phát chú rể không nhỉ các bạn ?
1739,Disgust,một cái ngu thật sứng đáng
1482,Enjoyment,năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘
816,Other,hãy dùng một đời để minh chứng nhé !💕😍
1045,Disgust,con mụ đen sai còn già mồm ...
1545,Enjoyment,chỉ cần yên bình như thế này thôi . ❤️❤️❤️
791,Sadness,năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc
114,Fear,chỉ sợ lúc nó dí
1582,Enjoyment,hên là chay ra kip
1420,Anger,immm
1419,Sadness,tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁
1044,Enjoyment,đa ́ người yêuc quá ́
939,Disgust,"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ..."
173,Fear,kinh dị v
1600,Enjoyment,thật may em đã gặp được người tài xế tốt 🌸🌸
1855,Surprise,bắn không trượt phát nào luôn à
1720,Surprise,tại sao mày nằm viện mà vẫn xinh thế ??
1284,Surprise,đẹp trai mà bị đá à
724,Sadness,cho con được thay ông bán vé đi 😔
139,Disgust,lớp xuất hiện thứ âm binh
1087,Enjoyment,đọc bình luận cười ẻ
1841,Enjoyment,per cách này coi bộ hay nha 😂
1807,Enjoyment,"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk"
188,Disgust,per thanh niên suốt ngày hát karaoke max volum
576,Disgust,lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách
1864,Anger,bố mày ngứa mắt lắm rồi đấy
1751,Anger,thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :)
1540,Anger,cả đám súc vật này
49,Disgust,bố mấy thằng bệnh
1230,Sadness,thật khó để có cả 2 khi chúng ta còn trẻ :)
1355,Disgust,nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì
185,Enjoyment,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào
1873,Disgust,còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn
33,Disgust,mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái
1639,Enjoyment,cô giáo có tâm vời nghề ghêeeee
1126,Sadness,tiếc quá đẹp trai mờ không có chim
773,Enjoyment,crush ở nhà chơi gane rồi haha
985,Sadness,nhìn stt đồng cảm khủng khiếp .
1186,Enjoyment,cài lò xô huyền thoại
658,Disgust,quên đào tạo đạo đức thôi mà báo làm căng vãi 😂
26,Disgust,đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức
147,Enjoyment,"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍"
159,Fear,hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra
1546,Anger,trốn cũng đéo tha
280,Enjoyment,"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi"
1200,Sadness,rồi lại im thôi . 200k hay 5tr thì cũng vậy
488,Enjoyment,"cái lò huyền thoại nè per , lúc mình ở chung đó"
39,Fear,hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ
287,Fear,tí nữa vợ nó vắt chân lên cổ bò thì hú hồn
1880,Enjoyment,tuyệt vời
1833,Surprise,trẻ con bao giờ ga lăng sớm thế nhỉ ?! hồi mình bằng bọn này đuổi đánh nhau hỡi chết :)))))
125,Other,tính đi chạy xe mà mưa cho nên ta ở nhà :)
63,Enjoyment,nhìn nó cưng quá
666,Disgust,chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .
255,Disgust,"này thì cắt đức quan hệ , toàn thể hiện , dume nó"
856,Disgust,con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình
1782,Enjoyment,hạnh phúc to nè
1601,Disgust,"độ "" thâm "" của bác phải gọi là "" bố "" của tàu"
133,Enjoyment,ông thần nhây vãi đái 😂😂
1770,Surprise,tóm lại vẩn ế à
1143,Sadness,chả vị nước mắt à 😔
562,Anger,con lợn kia sao đập vào đầu vợ bé của tao =))
261,Other,tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt
109,Fear,cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi
918,Enjoyment,hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem
379,Enjoyment,hahaa coi cái mặt con nhỏ thấy thương
1038,Enjoyment,"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩"
232,Other,per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ
636,Enjoyment,"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3"
449,Enjoyment,không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤
1465,Enjoyment,per anh tặng vợ cái bát nha kaka
597,Enjoyment,"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này"
410,Anger,như lol
1837,Surprise,bất ngờ chưa =)))
200,Anger,"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc"
499,Anger,"ay , đau thế , thằng chó !"
1052,Sadness,"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra ."
333,Anger,"đm cho tù mọt gông đi , cái thứ không não"
1554,Anger,con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn
648,Sadness,a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭
968,Disgust,"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))"
627,Enjoyment,per có nên áp dụng với anh hàng xóm không nhể 😆😆😆
923,Enjoyment,đáng yêuc quá
55,Other,ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy
1811,Disgust,làm như chỉ có chúng mày biết yêu nhau ý .
108,Other,nói chung là không nên uống chẳng bổ béo gì đâu
1498,Enjoyment,không nổi thì mình chìm haha
71,Other,nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được
661,Other,anh cũng bướng làm !
466,Anger,"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười"
814,Sadness,nhìn ma tiếc từng hạt trân châu
1354,Enjoyment,thật cảm động
1675,Surprise,"trời ơi , tin được không ????"
1061,Enjoyment,per nhìn mặt hài vler :)))
790,Enjoyment,"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)"
1312,Enjoyment,một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu
301,Disgust,người ngoài hành tinh đi học tiếng anh rồi à vãi
1179,Sadness,đó là một câu chuyện buồn 😀
941,Disgust,lỗi đạo cụ
964,Disgust,per dạo này bị xàm à 😂😂😂
874,Sadness,như chết đi sống lại 🙂
773,Sadness,"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))"
1723,Enjoyment,điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .
632,Anger,thả tao ra để tao cắn chết mẹ nó =))
575,Enjoyment,per tao cứ thấy giống giống mày :)))))
197,Disgust,vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau
1196,Disgust,"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ"
1305,Enjoyment,ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..
862,Enjoyment,cưng hết sức nà
1383,Disgust,"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo"
1644,Surprise,cái nệm này độ đàn hồi đỉnh ghê
586,Sadness,"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương"
1438,Anger,con mèo khốn nạn dám bóp vếu vợ tao à 😡
1866,Surprise,"giỏi quá ta , cố gắng phát huy nha"
958,Other,"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa"
849,Other,ăn cả thế giới đã
291,Anger,"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp"
1060,Disgust,"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi ."
1011,Sadness,chú này tội lắm á :(
527,Anger,gọi phường cẩu đi thôi
296,Disgust,link phim đéo có .. mà zo toàn gặp bình luận xàm
1008,Sadness,chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi
27,Enjoyment,hihi ảo tưởng
1215,Enjoyment,hahah tao chưa nghe hoàn chỉnh bài này lần nào
143,Enjoyment,mình không quan tâm giá trị học bổng bao nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi . hee . chúc mừng em .
107,Other,thế nếu sóc lên xong gõ thì n có trào lên không nhỉ
784,Other,2 tên sủa giống nhau đêm đêm thì rủ nhau hú ??
883,Other,dân dùng bằng giả có được khiển trách không nhỉ
712,Disgust,vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :))
208,Fear,người ta chỉ muốn dụ mày rồi xin một trái thận . 😪
785,Sadness,per huhu trời ơiii
268,Fear,lớp 5 mà viết kiểu này cô đánh gãy tay .
412,Enjoyment,con gái chả thế :)))) con trai đi dume mày có nhận hàng không
1583,Disgust,"xoá mẹ nó đi , pr cho nó làm gì"
881,Enjoyment,t thích nhìn mắt của crush hơn là nhìn nó cười
1883,Enjoyment,hành động đẹp
1151,Disgust,"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy"
955,Enjoyment,"đây là tao khi bảo "" tao biết đường mà , tin tao ."" 🙂"
552,Sadness,t nhớ tao đang xem xxx thì chưa cắm tai nghe 😭😭😭
1332,Enjoyment,chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông
463,Enjoyment,per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :))))
1788,Disgust,"ai đời cho kiến đen đốt tr .... nta cho kiến vàng đốt chứ , ăn kì cục"
194,Other,may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt
1855,Disgust,mặt mày nhìn chán thậc
1594,Disgust,cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được
330,Fear,per ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá 😢😢 đã mặp rồi chân lùn nữa đi qua bằng niềm tin
1092,Sadness,đau lòng quá
210,Disgust,chơi mất dậy . gặp tao là tiễn theo điện thoại luôn
1893,Enjoyment,vụ này chắc xử nhanh hơn vụ trong thang máy .... 😂😂😂
1140,Sadness,lúc rài không gặp được mặt cờ rút nữa 😪
828,Disgust,dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá
1678,Enjoyment,giống tao hồi bé ... 😅
1064,Disgust,có ai không bị giật mình như tao không . nhạt vãi =)))
487,Sadness,năm nay không được ăn dồi :((
1256,Sadness,ổng bị bắt rồi :( rồi lấy gì coi
1412,Enjoyment,"per thể loại mới nè , có vẻ phê"
240,Enjoyment,con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :))
1376,Disgust,"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né ."
1500,Enjoyment,per nhện kìa haha
1334,Sadness,per đi tong một năm học ... nhưng vẫn tốt nghiệp ... :(
1009,Sadness,càng thân thiết khi quay lưng càng đau lòng .
695,Enjoyment,lâu rồi chưa nghe ... nghe lại vẫn hay và ngấm như ngày nào :))
464,Other,tôi thấy tương lai của tôi trong bức ảnh này :d
102,Enjoyment,"per đấu nhau to rồi , phen này hay"
273,Other,có thể bán lại cho tớ không ??????
180,Disgust,phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !
522,Sadness,xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :)
469,Enjoyment,per phải nói là hiền quá hiền luônnn 🤣
1207,Anger,phạt thế quá nhẹ ...
1800,Disgust,có bồ mà cũng sân si
