Sentence,Emotion
dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,Tức giận
chẳng đủ dịu dàng để níu bước chân anh,Buồn bã
1 cái xe cup này ngày xưa bằng mấy cái nhà liền,Trung lập
mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,Vui vẻ
em chưa có người yêu . có ai yêu em không . em cô đơn quá,Buồn bã
nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,Vui vẻ
per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :),Vui vẻ
bả đòi cái gì vậy ?,Trung lập
"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa",Buồn bã
dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,Buồn bã
mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,Tức giận
cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅,Tức giận
lên án nhiều rồi mà vẫn thế .,Tức giận
thằng này ngu vãi,Tức giận
nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn,Buồn bã
"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép ..",Tức giận
"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",Sợ hãi
có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀,Vui vẻ
tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣,Tức giận
và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu,Buồn bã
thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,Tức giận
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,Tức giận
tao thấy giống khùng với lại vô duyên chứ hay gì,Tức giận
cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊,Vui vẻ
t gặp ngỗng chạy bỏ dép,Sợ hãi
"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta",Tức giận
"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤",Vui vẻ
cuộc sống mà đành chịu thôi =(((,Buồn bã
"cấp 3 , đáng tiếc nhất trong thời học sinh ^^",Buồn bã
"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà",Trung lập
"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3",Vui vẻ
dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔,Tức giận
t thấy chả có gì thú vị .,Trung lập
khi nào lên chùa ba vàng giải được vong thì kết hôn :)),Vui vẻ
thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,Tức giận
chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,Vui vẻ
cận cảnh cái bụng nước lèo của boss =))) xài hao vãi,Tức giận
bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..,Trung lập
em đi bộ chết mẹ đây này,Buồn bã
"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">",Vui vẻ
"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui .",Tức giận
nhìn mặt nó khó ưa thật chứ,Tức giận
lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),Trung lập
giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,Trung lập
một cái ngu thật sứng đáng,Tức giận
năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘,Vui vẻ
hãy dùng một đời để minh chứng nhé !💕😍,Trung lập
con mụ đen sai còn già mồm ...,Tức giận
chỉ cần yên bình như thế này thôi . ❤️❤️❤️,Vui vẻ
năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,Buồn bã
chỉ sợ lúc nó dí,Sợ hãi
hên là chay ra kip,Vui vẻ
immm,Tức giận
tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,Buồn bã
đa ́ người yêuc quá ́,Vui vẻ
"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ...",Tức giận
kinh dị v,Sợ hãi
thật may em đã gặp được người tài xế tốt 🌸🌸,Vui vẻ
cho con được thay ông bán vé đi 😔,Buồn bã
lớp xuất hiện thứ âm binh,Tức giận
đọc bình luận cười ẻ,Vui vẻ
per cách này coi bộ hay nha 😂,Vui vẻ
"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk",Vui vẻ
per thanh niên suốt ngày hát karaoke max volum,Tức giận
lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách,Tức giận
bố mày ngứa mắt lắm rồi đấy,Tức giận
thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :),Tức giận
cả đám súc vật này,Tức giận
bố mấy thằng bệnh,Tức giận
thật khó để có cả 2 khi chúng ta còn trẻ :),Buồn bã
nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì,Tức giận
may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,Vui vẻ
còn em trai cưng của tao sang nhà người thân quen của gia đình chowi thế là bị nhà họ nhốt lại hẳn 10 ngày liền ... dlm nhốt lại để em trai tao bắt chuột cho nhà họ mới hãm lồn,Tức giận
mấy thằng này người ta gọi là mấy thằng nhà quê . năm nào rồi còn túm 5 tụm 3 trêu gái,Tức giận
cô giáo có tâm vời nghề ghêeeee,Vui vẻ
tiếc quá đẹp trai mờ không có chim,Buồn bã
crush ở nhà chơi gane rồi haha,Vui vẻ
nhìn stt đồng cảm khủng khiếp .,Buồn bã
cài lò xô huyền thoại,Vui vẻ
quên đào tạo đạo đức thôi mà báo làm căng vãi 😂,Tức giận
đi bơi nên não bị úng nước à mấy thằng mặt lồn suy đồi đạo đức,Tức giận
"cố gắng lên mọi lỗ lực và công lao của em sẽ được đền đáp một cách thật là sứng đáng , cố gắng lên em nhé 👍",Vui vẻ
hồi nhỏ cứ đi qua chỗ nào mà nhìn từ xa thấy bóng dáng mấy con đuỹ này là chuẩn bị tinh thần chạy chứ nó dí sấp mặt luôn dù mình đéo làm gì nó hết 😂 vừa dí vừa ngoác mỏ hét sợ vãi ra,Sợ hãi
trốn cũng đéo tha,Tức giận
"con gấu trúc , cho nó ăn trúc đi =))) tướng ngồi nhìn cưng vãi",Vui vẻ
rồi lại im thôi . 200k hay 5tr thì cũng vậy,Buồn bã
"cái lò huyền thoại nè per , lúc mình ở chung đó",Vui vẻ
hi vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ,Sợ hãi
tí nữa vợ nó vắt chân lên cổ bò thì hú hồn,Sợ hãi
tuyệt vời,Vui vẻ
tính đi chạy xe mà mưa cho nên ta ở nhà :),Trung lập
nhìn nó cưng quá,Vui vẻ
chủ tịch giả làm nhện và cái kết . đừng bao giờ xem thường người khác .,Tức giận
"này thì cắt đức quan hệ , toàn thể hiện , dume nó",Tức giận
con gái bây giờ chẳng nhờ được cái đéo gì nhờ có phát mà đập mẹ luôn cái bình,Tức giận
hạnh phúc to nè,Vui vẻ
"độ "" thâm "" của bác phải gọi là "" bố "" của tàu",Tức giận
ông thần nhây vãi đái 😂😂,Vui vẻ
chả vị nước mắt à 😔,Buồn bã
con lợn kia sao đập vào đầu vợ bé của tao =)),Tức giận
tôi rất mong sử phạt giao thông cũng mạnh tay như thế nào thì tốt,Trung lập
cứ sợ rớt điện thoại :)))) sợ nhất là lỡ khúc nào khó là té không thể tả nổi,Sợ hãi
hình như anh nay đóng phim ngây ngô thì fải ... phim đó hay lắm các bạn nên xem,Vui vẻ
hahaa coi cái mặt con nhỏ thấy thương,Vui vẻ
"per khiếp nhớ ngày xưa quá anh em ơi , đi làm cười từ sáng tới tối luôn 😩",Vui vẻ
per tự nhiên tao cảm thấy bị nhột nhột trong người mày ạ,Trung lập
"tỉ năm mới thấy cười một lần người gì đâu mà khó cười đến thế 🤨 chả bù cho mình , lúc đéo nào cũng cười , cuộc sống tràn ngập niềm vui < 3",Vui vẻ
không phải crush :v nhưng mà nhìn ổng cười mỉm nhìn cute vãi -.-😑😆❤,Vui vẻ
per anh tặng vợ cái bát nha kaka,Vui vẻ
"tiêu đề bộ phim cứ ngỡ là thể loại hài , nhưng nếu xem hết thì các bạn sẽ rút ra rất nhiều điều và cái hay trong phim này",Vui vẻ
như lol,Tức giận
"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc",Tức giận
"ay , đau thế , thằng chó !",Tức giận
"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",Buồn bã
"đm cho tù mọt gông đi , cái thứ không não",Tức giận
con tao mà bị như này . cả nhà bon kia không quỳ mà xin thì xác con mẹ định luôn,Tức giận
a per ..... nhìn những hình ảnh này ... sao em nhớ về anh quá .... 15 năm ròng rã .. giờ anh lưu lạc nơi đâu . 😭😭😭😭,Buồn bã
"kiến phải loại kiến lửa , kiến vàng , còn loại kiến lấy cứt trâu làm tổ này thì đốt gì hả ông zời :))",Tức giận
per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,Vui vẻ
đáng yêuc quá,Vui vẻ
ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,Trung lập
làm như chỉ có chúng mày biết yêu nhau ý .,Tức giận
nói chung là không nên uống chẳng bổ béo gì đâu,Trung lập
không nổi thì mình chìm haha,Vui vẻ
nóng tính quá hỏng viẹc - trẻ em rất thích ngọt mình nên nhẹ nhàng cương quyết mới được,Trung lập
anh cũng bướng làm !,Trung lập
"mỗi lần như thế tao chửi , mà bọn nó xem đó là trò đùa mày ạ , càng chửi càng cười",Tức giận
nhìn ma tiếc từng hạt trân châu,Buồn bã
thật cảm động,Vui vẻ
per nhìn mặt hài vler :))),Vui vẻ
"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)",Vui vẻ
một phút huy hoàng rồi chợt tắt còn hơn le lói giữa ngàn thu,Vui vẻ
người ngoài hành tinh đi học tiếng anh rồi à vãi,Tức giận
đó là một câu chuyện buồn 😀,Buồn bã
lỗi đạo cụ,Tức giận
per dạo này bị xàm à 😂😂😂,Tức giận
như chết đi sống lại 🙂,Buồn bã
"bất cứ lúc nào nghĩ về đời tao chỉ thấy vị cay , nồng nơi khóe mắt :))",Buồn bã
điện cho đứa bạn . đem mũ ra . coi ai hơn ai . kakaa .,Vui vẻ
thả tao ra để tao cắn chết mẹ nó =)),Tức giận
per tao cứ thấy giống giống mày :))))),Vui vẻ
vấn đề là phải cấm được xả thải chứ không thì chẳng khác mẹ gì nhau,Tức giận
"giỏi thì tự đi mà thiết kế các kiểu . ở đó chỉ giỏi cào phím chê bai thôi . ông đã làm được gì , am hiểu gì mà chê này chê nọ",Tức giận
ngoài kia ! còn có rất nhiều điều tốt đẹp vẫn còn trên thế giớ này ! hy vọng những điều tốt đẹp luôn diễn ra từng giây phút ..,Vui vẻ
cưng hết sức nà,Vui vẻ
"học kiểu ăn nói láp xược , tại sao không dạy xưng tôi hay tôi mà là tao . đúng chất bắc láo",Tức giận
"em lấy đi niềm tin chả lại cho anh những gì , cũng vì anh vụng về đánh rơi hay càng xa vời càng dễ mất .. anh chân thành nên anh tổn thương",Buồn bã
con mèo khốn nạn dám bóp vếu vợ tao à 😡,Tức giận
"giờ mà quay lại cái thời đi học , tao thề không ngoan nữa mà sẽ bỏ học đi chơi vài bữa",Trung lập
ăn cả thế giới đã,Trung lập
"mấy cái thằng này xử bắn hết đi , to xác không lo làm ăn suốt ngày trộm cắp",Tức giận
"đưa lên để nhận đồng cảm à ?? họ sai họ chịu phạt , còn người ta đỗ xe như thế bạn chả có quyền gì đuổi người ta cả . bỏ dần tư tưởng đường trước cửa nhà ta là của ta đi .",Tức giận
chú này tội lắm á :(,Buồn bã
gọi phường cẩu đi thôi,Tức giận
link phim đéo có .. mà zo toàn gặp bình luận xàm,Tức giận
chắc kiếp trước gieo nghiệp kiếp này phải gánh thôi,Buồn bã
hihi ảo tưởng,Vui vẻ
hahah tao chưa nghe hoàn chỉnh bài này lần nào,Vui vẻ
mình không quan tâm giá trị học bổng bao nhiêu . mà tớ q . tâm em đó sẽ dành những gì cho đất nước sau khi học xong thôi . hee . chúc mừng em .,Vui vẻ
thế nếu sóc lên xong gõ thì n có trào lên không nhỉ,Trung lập
2 tên sủa giống nhau đêm đêm thì rủ nhau hú ??,Trung lập
dân dùng bằng giả có được khiển trách không nhỉ,Trung lập
vì mày là đống vỏ năm xưa mẹ mày đổ vào đầu bố mày nên ngày nào nhìn mặt mày hắn cũng cay cú như thế :)),Tức giận
người ta chỉ muốn dụ mày rồi xin một trái thận . 😪,Sợ hãi
per huhu trời ơiii,Buồn bã
lớp 5 mà viết kiểu này cô đánh gãy tay .,Sợ hãi
con gái chả thế :)))) con trai đi dume mày có nhận hàng không,Vui vẻ
"xoá mẹ nó đi , pr cho nó làm gì",Tức giận
t thích nhìn mắt của crush hơn là nhìn nó cười,Vui vẻ
hành động đẹp,Vui vẻ
"đập chết mẹ nó đi , nó làm người ta nhồi máu cơ tim có khác nào giết người gián tiếp mà ở mỹ gọi là giết người cấp độ 2 đấy",Tức giận
"đây là tao khi bảo "" tao biết đường mà , tin tao ."" 🙂",Vui vẻ
t nhớ tao đang xem xxx thì chưa cắm tai nghe 😭😭😭,Buồn bã
chuẩn . hài lòng với những thứ mình đang có . đừng mơ mộng những thứ viển vông,Vui vẻ
per quẹo lựa mấy đứa ơi . để lễ nay đặt vé luôn cho rồi . nóng quá rồi :)))),Vui vẻ
"ai đời cho kiến đen đốt tr .... nta cho kiến vàng đốt chứ , ăn kì cục",Tức giận
may quá tao đang nhà đắp chăn xem cảnh này chứ đông vậy đi chắc chớt,Trung lập
mặt mày nhìn chán thậc,Tức giận
cả 2 đứa đều trẻ con . yêu đương kiểu này thì lsao mà tính chuyện lâu dài được,Tức giận
per ê tao với mày mà đi cái cầu này chắc rớt ngay bước đầu quá 😢😢 đã mặp rồi chân lùn nữa đi qua bằng niềm tin,Sợ hãi
đau lòng quá,Buồn bã
chơi mất dậy . gặp tao là tiễn theo điện thoại luôn,Tức giận
vụ này chắc xử nhanh hơn vụ trong thang máy .... 😂😂😂,Vui vẻ
lúc rài không gặp được mặt cờ rút nữa 😪,Buồn bã
dạo này cứ đổ vỡ nhây nhớp là hấp dẫn cư dân mạng à :)) tao thấy đéo đến mức buồn quá,Tức giận
giống tao hồi bé ... 😅,Vui vẻ
có ai không bị giật mình như tao không . nhạt vãi =))),Tức giận
năm nay không được ăn dồi :((,Buồn bã
ổng bị bắt rồi :( rồi lấy gì coi,Buồn bã
"per thể loại mới nè , có vẻ phê",Vui vẻ
con nào cũng là con nhé . con trai tao tập từ nhỏ đã biết tự lo và phụ mẹ rồi :)),Vui vẻ
"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né .",Tức giận
per nhện kìa haha,Vui vẻ
per đi tong một năm học ... nhưng vẫn tốt nghiệp ... :(,Buồn bã
càng thân thiết khi quay lưng càng đau lòng .,Buồn bã
lâu rồi chưa nghe ... nghe lại vẫn hay và ngấm như ngày nào :)),Vui vẻ
tôi thấy tương lai của tôi trong bức ảnh này :d,Trung lập
"per đấu nhau to rồi , phen này hay",Vui vẻ
có thể bán lại cho tớ không ??????,Trung lập
phí gì cũng cao nhất so với ngân hàg khác mà phục vụ lại tệ nhất ! sau đợt này vcb mất nhiều khác hàg !,Tức giận
xem đi xem lại bao nhiêu lần cũng không chán ... vẫn cảm giác hồi hộp :),Buồn bã
per phải nói là hiền quá hiền luônnn 🤣,Vui vẻ
phạt thế quá nhẹ ...,Tức giận
có bồ mà cũng sân si,Tức giận
trên đời sợ nhất mấy con trùn trùn như ri ! nhất là giun đất với rắn !!! đã từng bỏ tiết học sinh học mổ giun đất 😞😞,Sợ hãi
sao tao thấy đa phần mấy đứa con trai cắt tóc xong nhìn ngáo đéo chịu được vậy =))).. cười tét cả hàm chứ đùa,Vui vẻ
đơn giản thôi : nó giống như con chó vậy . khi ta đuổi thì nó chạy . khi ta chạy thì nó đuổi,Trung lập
ướp đông lạnh luôn à,Trung lập
chờ tý tao đi thay bỉm xíu tao quay lại .,Sợ hãi
có hiệu quả không mới quan trọng,Trung lập
sáng sớm đã đậm chất ngôn tình . tránh ra chỗ bà gym nào .,Tức giận
anh chờ ... đáng yêu ghê,Vui vẻ
cười như cục cức trôi sông lạc chợ 😏😏👌,Tức giận
tao buồn mấy năm nay rồi,Buồn bã
phải đối xử tốt với chính bản thân mình :),Vui vẻ
"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ",Buồn bã
"móa , thiệt chứ tụi này nuôi làm gì vậy nhỉ ?",Tức giận
tao đang đi phân khối lớn đây . ai cũng kêu nhìn cá tính vãi 😁,Vui vẻ
động lực để phụ nữ chiến đấu chính là gia đình và bản thân họ :),Trung lập
mink chỉ lo là nhà nước không đủ gạo nuôi mấy anh,Buồn bã
"chuẩn rồi . nhiều khi mệt muốn xỉu , xong đồng nghiệp đùa nhau đôi ba câu hay kể cho nhau vài câu chuyện thế là lại vui trở lại 😂😂😂 đồng nghiệp quan trọng thật sự",Vui vẻ
ai trèo lên đưa cho ảnh cái áo mưa đi kẻo ướt ảnh đó,Trung lập
